Category,Product_ID,Total_Revenue,Total_Units
Children,10760,43952.67,487
Children,9694,43845.28,516
Children,4624,43831.88,415
Children,8862,43745.86,386
Children,8369,43733.71,395
Children,10994,43688.229999999996,503
Children,10422,43636.55,513
Children,5066,43629.23,408
Children,13466,43626.8,446
Children,10552,43591.21,483
Children,13204,43558.65,409
Children,14245,43539.15,484
Children,14141,43475.54,473
Children,6887,43430.23,429
Children,13464,43379.19,410
Children,14401,43336.33,525
Children,13232,43325.46,384
Children,14505,43282.89,436
Children,14921,43227.700000000004,480
Children,12372,43212.89,443
Children,4676,43207.09,431
Children,12009,43136.74,494
Children,12684,43127.07,453
Children,13959,43080.58,461
Children,14818,43018.42,463
Children,14687,42930.8,448
Children,11826,42912.72,566
Children,6939,42893.5,396
Children,11618,42847.409999999996,521
Children,3558,42821.33,404
Children,8421,42806.21,420
Children,12581,42789.86,470
Children,9148,42755.83,507
Children,12242,42717.3,440
Children,5976,42707.87,412
Children,5274,42705.38,439
Children,12997,42699.25,447
Children,13179,42657.52,486
Children,14219,42609.46,522
Children,13828,42584.48,429
Children,3948,42556.83,425
Children,14114,42554.05,399
Children,11280,42503.229999999996,591
Children,4754,42486.13,465
Children,10136,42462.53,512
Children,11956,42443.35,520
Children,12789,42387.58,475
Children,3532,42367.15,423
Children,12034,42329.15,402
Children,14270,42318.1,430
Children,7251,42304.66,392
Children,8837,42302.55,423
Children,9772,42272.56,532
Children,13309,42261.44,440
Children,14375,42260.93,453
Children,13932,42244.81,444
Children,11748,42208.55,502
Children,7927,42201.12,406
Children,4026,42180.25,407
Children,8005,42149.37,430
Children,9928,42125.35,511
Children,14192,42115.56,415
Children,12086,42085.55,404
Children,12866,42073.229999999996,418
Children,8472,42064.44,386
Children,12504,41962.48,370
Children,7641,41943.83,382
Children,5300,41940.33,427
Children,14037,41934.73,494
Children,14038,41926.3,435
Children,4286,41916.52,445
Children,13880,41886.37,443
Children,7979,41767.12,441
Children,7096,41759.38,457
Children,13778,41749.25,436
Children,13230,41730.73,432
Children,13620,41723.58,478
Children,10032,41586.76,530
Children,8786,41581.63,434
Children,5898,41569.86,430
Children,9798,41553.0,511
Children,6653,41412.8,461
Children,8083,41339.12,437
Children,7953,41308.56,428
Children,11306,41199.93,508
Children,13126,41171.7,412
Children,9356,41133.76,520
Children,7356,41110.42,418
Children,12347,41105.29,468
Children,7563,41098.22,454
Children,6912,41088.54,407
Children,13854,41055.07,478
Children,3064,41034.89,421
Children,14220,40973.75,453
Children,10110,40969.73,483
Children,14610,40968.57,423
Children,14895,40925.37,452
Children,4910,40891.4,442
Children,11878,40827.38,486
Children,9018,40741.11,507
Children,8057,40705.47,428
Children,5534,40702.26,426
Children,8915,40618.22,437
Children,5872,40532.74,462
Children,7042,40444.08,370
Children,12348,40413.76,398
Children,14218,40371.03,418
Children,11852,40339.58,541
Children,6522,40256.93,383
Children,14792,40241.13,434
Children,5768,40240.65,407
Children,12712,40210.8,433
Children,3506,40178.47,430
Children,8032,40144.340000000004,397
Children,13387,40138.86,494
Children,13594,40076.81,439
Children,3870,40067.4,403
Children,12944,40029.71,413
Children,7849,40011.3,451
Children,14453,40008.33,497
Children,12867,39996.67,518
Children,6445,39992.51,453
Children,6861,39986.75,436
Children,13881,39965.72,485
Children,13829,39961.45,412
Children,9174,39946.08,510
Children,5378,39910.76,402
Children,12452,39875.92,456
Children,8628,39817.36,393
Children,8343,39760.33,417
Children,13724,39727.44,415
Children,14842,39722.76,449
Children,14556,39702.77,444
Children,6654,39688.23,386
Children,8941,39678.83,416
Children,10578,39661.24,507
Children,3272,39569.86,493
Children,7823,39559.5,445
Children,4390,39519.34,400
Children,12191,39488.28,504
Children,6029,39441.79,395
Children,13986,39437.03,392
Children,6185,39399.83,399
Children,14868,39251.05,415
Children,12842,39250.53,421
Children,8655,39212.05,436
Children,9642,39203.91,541
Children,14010,39200.1,429
Children,3792,39148.91,420
Children,14661,39148.8,514
Children,13284,39117.24,399
Children,12814,38976.15,475
Children,14922,38966.9,422
Children,8863,38959.95,437
Children,9980,38940.72,499
Children,10604,38923.77,546
Children,13569,38913.9,492
Children,14765,38906.79,442
Children,14011,38880.56,489
Children,13048,38872.04,397
Children,8577,38869.48,429
Children,13256,38769.38,379
Children,5352,38769.3,395
Children,12892,38761.81,446
Children,13674,38747.74,454
Children,13646,38719.65,415
Children,3350,38717.22,465
Children,6783,38662.22,424
Children,12269,38637.57,448
Children,7225,38635.43,420
Children,5820,38562.37,453
Children,13154,38555.56,441
Children,3636,38552.18,432
Children,7432,38533.88,429
Children,13022,38505.98,470
Children,10682,38489.4,511
Children,3090,38478.33,420
Children,6003,38443.33,419
Children,13283,38388.68,475
Children,5586,38339.77,423
Children,12710,38285.17,412
Children,10786,38262.47,504
Children,6601,38257.17,419
Children,6964,38161.02,409
Children,13335,38142.45,510
Children,11384,38138.37,500
Children,12919,38078.9,480
Children,14844,38073.76,432
Children,8344,38029.55,402
Children,4260,38027.8,417
Children,6368,38005.91,404
Children,9538,37997.01,462
Children,12788,37969.79,428
Children,7874,37955.67,396
Children,13543,37910.57,533
Children,12996,37880.5,413
Children,12658,37860.33,412
Children,13334,37837.55,479
Children,10189,37799.25,192
Children,3246,37777.56,420
Children,14115,37738.42,441
Children,11540,37730.54,480
Children,14454,37717.2,429
Children,8785,37712.25,412
Children,10370,37680.64,486
Children,13570,37656.56,427
Children,11983,37655.06,476
Children,14869,37651.59,418
Children,12946,37632.0,466
Children,7875,37630.46,402
Children,12528,37622.63,457
Children,13726,37622.62,406
Children,12087,37608.6,431
Children,12711,37607.29,439
Children,6576,37556.6,404
Children,7510,37540.909999999996,359
Children,13102,37538.14,396
Children,14636,37530.75,453
Children,4494,37487.28,405
Children,6627,37479.09,431
Children,8004,37471.33,386
Children,13308,37458.23,454
Children,10214,37452.18,556
Children,8265,37417.47,372
Children,8784,37415.86,361
Children,6679,37402.24,387
Children,3324,37401.4,447
Children,12660,37390.15,430
Children,14688,37312.0,402
Children,7718,37306.840000000004,420
Children,8420,37248.4,384
Children,6809,37198.6,412
Children,6211,37168.44,392
Children,5638,37139.39,428
Children,12998,37126.19,425
Children,9071,37115.8,188
Children,14088,37106.45,411
Children,14428,37093.11,412
Children,14322,37053.93,451
Children,10240,37041.590000000004,502
Children,7954,37020.42,412
Children,3662,36977.83,421
Children,12659,36970.78,498
Children,6756,36939.54,381
Children,10942,36931.93,497
Children,6002,36914.09,357
Children,12502,36821.72,409
Children,13257,36766.44,433
Children,8967,36766.43,445
Children,7928,36709.0,412
Children,7590,36669.83,380
Children,13804,36638.67,412
Children,13490,36626.32,434
Children,6132,36606.52,344
Children,7406,36587.3,383
Children,7147,36585.27,435
Children,6004,36573.72,383
Children,10006,36563.41,493
Children,8109,36507.58,408
Children,4702,36495.28,436
Children,8031,36494.82,402
Children,13465,36494.66,437
Children,8030,36429.06,427
Children,3220,36399.58,400
Children,5404,36364.48,448
Children,14478,36333.55,398
Children,8681,36295.02,426
Children,12036,36273.45,445
Children,8473,36260.8,416
Children,14480,36238.79,373
Children,7667,36208.7,403
Children,8656,36136.88,390
Children,6497,36135.49,406
Children,6237,36131.0,406
Children,8135,36095.33,401
Children,12268,36079.13,442
Children,13621,36063.38,466
Children,12113,36060.98,455
Children,8161,35979.52,463
Children,12606,35977.61,450
Children,7484,35931.9,383
Children,7381,35895.65,438
Children,14790,35893.15,448
Children,6393,35832.58,421
Children,7744,35808.94,424
Children,12294,35798.02,407
Children,12476,35746.38,412
Children,13386,35743.23,432
Children,5014,35690.69,467
Children,12972,35686.52,439
Children,10266,35667.91,523
Children,5248,35664.91,434
Children,11984,35656.32,429
Children,12114,35646.1,401
Children,14608,35591.35,436
Children,13206,35573.5,414
Children,6080,35523.01,393
Children,12685,35486.840000000004,473
Children,8526,35428.61,370
Children,12217,35420.91,445
Children,7044,35401.34,386
Children,12530,35390.9,405
Children,4728,35390.58,442
Children,8187,35340.86,436
Children,6290,35288.73,441
Children,14634,35276.7,464
Children,12374,35275.68,462
Children,6600,35255.45,388
Children,11801,35236.9,196
Children,3584,35179.31,466
Children,6965,35159.75,416
Children,6834,35150.17,357
Children,14894,35148.78,433
Children,8890,35066.32,348
Children,5950,35056.91,440
Children,3454,34974.17,436
Children,12762,34939.77,436
Children,8292,34929.13,379
Children,8759,34884.45,410
Children,6419,34877.53,419
Children,11592,34875.63,513
Children,13958,34865.53,481
Children,7121,34828.25,376
Children,8213,34820.99,430
Children,14947,34801.9,488
Children,3012,34767.1,446
Children,4234,34737.96,440
Children,5560,34701.45,447
Children,6186,34676.55,400
Children,6030,34644.32,405
Children,11098,34515.95,495
Children,13075,34481.65,467
Children,6678,34402.59,379
Children,11696,34397.86,483
Children,6262,34394.06,376
Children,9564,34326.28,565
Children,7692,34317.83,395
Children,11514,34241.37,497
Children,8889,34221.96,445
Children,13310,34218.24,383
Children,14870,34158.38,413
Children,8732,34121.37,339
Children,7770,34046.47,369
Children,13622,34045.3,432
Children,12894,33995.65,385
Children,4104,33990.1,412
Children,7068,33932.98,364
Children,14740,33919.67,418
Children,10734,33902.97,486
Children,12840,33894.15,415
Children,10319,33879.4,191
Children,6731,33807.2,366
Children,8084,33801.54,384
Children,7694,33758.68,411
Children,10865,33757.3,196
Children,7198,33738.99,359
Children,3818,33730.78,429
Children,5690,33699.08,432
Children,14558,33644.41,421
Children,6289,33637.08,456
Children,14271,33633.94,491
Children,6835,33633.08,366
Children,13700,33581.95,361
Children,12426,33573.92,455
Children,4650,33558.2,448
Children,7900,33530.06,373
Children,14402,33506.66,403
Children,9902,33479.64,470
Children,14662,33470.16,425
Children,12841,33453.37,462
Children,10188,33358.86,459
Children,6940,33349.55,424
Children,13100,33349.08,377
Children,12450,33343.76,450
Children,6966,33316.44,398
Children,11254,33289.03,542
Children,11385,33288.45,182
Children,8758,33209.02,364
Children,13518,33177.25,392
Children,14686,33169.12,505
Children,4572,33164.3,419
Children,7434,33093.65,332
Children,8525,33074.18,434
Children,10838,33048.02,518
Children,14167,33045.71,455
Children,7355,33020.89,415
Children,12062,32961.5,444
Children,13725,32953.64,453
Children,3116,32942.41,434
Children,13542,32942.229999999996,425
Children,6575,32859.81,435
Children,14766,32859.31,458
Children,4078,32831.5,473
Children,8474,32824.89,410
Children,8082,32814.93,377
Children,7382,32782.02,393
Children,6340,32779.36,364
Children,12918,32727.88,424
Children,13751,32716.03,478
Children,3974,32694.32,406
Children,13231,32684.84,463
Children,8136,32656.29,417
Children,12608,32619.94,366
Children,7589,32596.52,416
Children,5794,32560.1,442
Children,12322,32506.43,414
Children,10292,32505.739999999998,553
Children,12478,32502.52,399
Children,5170,32458.39,436
Children,6758,32446.14,380
Children,9460,32445.16,499
Children,11047,32444.25,169
Children,7719,32431.48,450
Children,6732,32401.82,374
Children,10708,32326.59,494
Children,3091,32321.95,168
Children,5040,32309.96,414
Children,13934,32302.45,421
Children,5144,32274.24,466
Children,9565,32215.9,163
Children,7822,32205.39,372
Children,6342,32178.85,388
Children,7120,32155.18,380
Children,11359,32141.0,173
Children,8186,32128.54,325
Children,14064,32075.8,396
Children,8110,32072.25,363
Children,12868,32048.04,406
Children,7459,32025.21,415
Children,14246,32020.45,382
Children,7407,32011.97,463
Children,7848,31998.22,348
Children,6316,31964.74,403
Children,10215,31956.7,196
Children,12320,31919.63,400
Children,13672,31914.37,436
Children,11722,31897.170000000002,507
Children,5924,31851.670000000002,412
Children,7302,31762.89,399
Children,9070,31734.44,504
Children,11749,31722.7,155
Children,7562,31718.22,380
Children,6056,31688.62,373
Children,14116,31679.649999999998,396
Children,8550,31669.32,391
Children,10761,31654.85,189
Children,12893,31642.69,482
Children,12138,31604.39,393
Children,7199,31588.3,408
Children,6810,31576.95,358
Children,10890,31538.239999999998,500
Children,9123,31537.0,164
Children,8708,31525.5,391
Children,11255,31497.7,228
Children,13050,31462.18,422
Children,7226,31436.7,403
Children,11202,31404.57,498
Children,5742,31398.06,420
Children,10085,31386.2,164
Children,6550,31312.78,401
Children,6913,31306.3,411
Children,9486,31295.74,510
Children,3038,31276.07,413
Children,4364,31263.46,457
Children,12139,31227.03,476
Children,9617,31196.5,174
Children,9669,31181.5,178
Children,8551,31114.84,424
Children,13856,31110.69,407
Children,12400,31087.87,390
Children,3922,31006.9,464
Children,7926,31006.5,397
Children,14920,30990.04,419
Children,5430,30985.05,452
Children,14296,30976.44,421
Children,9850,30958.5,441
Children,13024,30934.3,422
Children,9982,30913.4,174
Children,13830,30793.19,441
Children,8706,30782.350000000002,389
Children,14348,30762.19,464
Children,5846,30741.21,481
Children,8993,30734.5,182
Children,6236,30713.15,398
Children,8108,30669.16,415
Children,7876,30649.59,397
Children,14531,30624.56,449
Children,7200,30611.35,401
Children,13128,30608.6,397
Children,12088,30583.45,390
Children,14374,30530.24,436
Children,7642,30434.52,360
Children,7122,30378.68,398
Children,6366,30377.19,379
Children,6862,30367.22,378
Children,8707,30345.54,425
Children,13516,30339.99,404
Children,12634,30311.65,428
Children,12554,30204.54,408
Children,8162,30204.13,427
Children,13076,30195.41,413
Children,12891,30184.4,303
Children,6626,30178.42,341
Children,13438,30156.68,411
Children,13752,30131.63,398
Children,7588,30127.2,390
Children,12920,30118.78,409
Children,8212,30117.5,380
Children,6082,30105.4,385
Children,8239,30090.05,420
Children,11073,30065.8,192
Children,9278,30064.09,474
Children,12008,30055.09,481
Children,12632,30037.59,441
Children,8006,30034.66,384
Children,6108,30027.9,386
Children,7017,30007.86,422
Children,6160,29997.65,384
Children,7016,29941.55,388
Children,10345,29939.25,151
Children,7614,29938.92,395
Children,10162,29920.91,533
Children,14582,29886.03,387
Children,6210,29846.44,367
Children,6392,29826.68,354
Children,12582,29808.4,431
Children,8630,29805.08,398
Children,7433,29757.38,402
Children,9279,29748.2,171
Children,12424,29730.510000000002,393
Children,14297,29697.27,456
Children,6106,29669.26,332
Children,13908,29662.24,445
Children,14946,29624.44,413
Children,12736,29615.01,439
Children,4884,29594.05,400
Children,11437,29566.9,196
Children,8576,29566.79,337
Children,14272,29522.98,416
Children,11124,29498.829999999998,503
Children,7536,29471.6,387
Children,7069,29438.59,434
Children,12764,29423.56,414
Children,8422,29375.5,413
Children,9357,29360.75,184
Children,6784,29353.83,367
Children,7224,29344.66,383
Children,7094,29326.77,392
Children,6914,29302.45,389
Children,7146,29269.91,411
Children,4182,29202.25,439
Children,12244,29197.3,428
Children,7070,29122.25,388
Children,8446,29107.55,388
Children,13906,29091.53,406
Children,9435,29050.1,177
Children,12010,29031.33,402
Children,14948,29029.16,410
Children,7018,28996.65,422
Children,12270,28992.57,401
Children,12790,28991.4,426
Children,14324,28967.670000000002,405
Children,14377,28954.15,280
Children,7460,28948.87,382
Children,6158,28914.04,393
Children,13882,28903.3,413
Children,8394,28900.43,386
Children,10839,28887.6,205
Children,12557,28885.2,293
Children,12298,28845.1,399
Children,14896,28820.07,395
Children,7148,28817.12,379
Children,7303,28812.72,422
Children,8966,28796.22,406
Children,8342,28791.35,331
Children,4079,28747.7,176
Children,6418,28745.47,394
Children,5093,28745.1,181
Children,4130,28741.64,413
Children,10968,28739.82,484
Children,8291,28686.12,395
Children,5222,28662.32,377
Children,10735,28635.0,178
Children,10474,28512.47,475
Children,8836,28497.84,349
Children,6548,28496.62,394
Children,3298,28474.39,451
Children,7276,28418.44,392
Children,12140,28414.65,385
Children,8811,28403.43,442
Children,8604,28354.37,416
Children,10787,28345.5,160
Children,7746,28325.05,387
Children,8370,28315.64,390
Children,8810,28290.91,384
Children,6628,28289.73,361
Children,6992,28274.43,393
Children,6238,28207.9,357
Children,13698,28193.91,396
Children,14584,28169.71,426
Children,7796,28151.36,361
Children,7771,28144.87,395
Children,6602,28093.2,382
Children,7564,28089.760000000002,410
Children,8499,28049.73,419
Children,10553,28045.5,190
Children,4962,28022.32,458
Children,14452,27993.37,413
Children,8552,27979.09,366
Children,13492,27931.24,407
Children,8734,27861.45,402
Children,10969,27857.95,185
Children,7901,27840.49,405
Children,12556,27838.69,399
Children,13776,27833.88,411
Children,6264,27754.6,393
Children,12346,27752.11,447
Children,3610,27717.760000000002,397
Children,11541,27702.5,170
Children,6680,27696.8,375
Children,8682,27655.7,378
Children,3428,27653.79,371
Children,11593,27637.3,170
Children,8447,27601.63,399
Children,14738,27597.62,412
Children,6730,27571.31,375
Children,9747,27561.25,167
Children,6263,27556.08,397
Children,7772,27524.99,377
Children,10917,27478.75,174
Children,12060,27450.43,416
Children,7798,27432.24,408
Children,6028,27356.66,362
Children,12218,27353.84,394
Children,3142,27346.06,409
Children,12111,27341.2,295
Children,6706,27331.05,358
Children,13957,27329.65,318
Children,6081,27269.87,415
Children,4936,27251.79,420
Children,13645,27232.6,272
Children,6808,27220.02,357
Children,14426,27212.41,419
Children,7720,27151.3,381
Children,9955,27073.25,187
Children,14194,26976.8,396
Children,12192,26954.6,369
Children,3168,26954.1,459
Children,4598,26952.36,407
Children,13282,26928.24,439
Children,6705,26863.23,418
Children,12296,26846.69,404
Children,12241,26797.95,300
Children,4573,26758.95,172
Children,14530,26730.9,434
Children,3715,26641.75,159
Children,14350,26625.71,437
Children,10061,26614.77,263
Children,8395,26608.93,419
Children,5092,26605.510000000002,400
Children,9878,26569.45,180
Children,8238,26535.44,358
Children,10111,26496.5,156
Children,9591,26486.1,174
Children,8240,26467.45,398
Children,11982,26440.31,432
Children,13258,26437.05,412
Children,6420,26417.11,417
Children,11463,26388.95,198
Children,11931,26378.15,158
Children,13541,26377.25,308
Children,3896,26375.25,465
Children,9124,26351.2,174
Children,7980,26298.86,372
Children,7485,26291.09,407
Children,14949,26277.45,291
Children,8316,26263.670000000002,365
Children,13905,26262.2,329
Children,14793,26220.6,274
Children,6212,26197.260000000002,362
Children,6472,26196.49,369
Children,4495,26195.4,154
Children,14298,26175.25,435
Children,13360,26155.87,421
Children,9773,26148.75,163
Children,11488,26122.11,553
Children,4521,26121.6,157
Children,10995,26117.7,165
Children,9201,26097.0,181
Children,13723,26087.65,294
Children,13103,26080.75,337
Children,8160,26062.79,337
Children,14455,26037.5,283
Children,14841,26010.45,306
Children,11957,26009.7,176
Children,5119,25960.0,154
Children,10813,25951.75,170
Children,10059,25943.25,176
Children,4520,25942.23,430
Children,14118,25939.05,397
Children,5508,25879.39,432
Children,14532,25845.68,402
Children,13440,25785.22,425
Children,3169,25769.05,159
Children,11021,25761.6,175
Children,8603,25755.7,429
Children,4832,25750.53,421
Children,10709,25721.0,161
Children,11151,25671.75,181
Children,12194,25576.6,346
Children,9175,25559.5,152
Children,11205,25533.79,256
Children,14036,25482.71,400
Children,12869,25473.25,316
Children,6134,25468.89,367
Children,12865,25411.4,286
Children,10087,25410.22,267
Children,9384,25407.6,196
Children,6524,25370.97,415
Children,3273,25348.9,163
Children,14919,25342.6,307
Children,14714,25337.95,379
Children,10763,25317.34,256
Children,14816,25218.94,393
Children,14295,25216.65,257
Children,13879,25215.3,278
Children,12738,25200.09,392
Children,10033,25162.1,170
Children,8134,25151.18,388
Children,8264,25147.649999999998,367
Children,13074,25143.53,450
Children,10631,25103.75,161
Children,4442,25099.64,405
Children,6394,25093.56,433
Children,9877,24978.7,154
Children,13984,24970.52,450
Children,13336,24960.56,374
Children,8995,24948.92,238
Children,7380,24942.69,402
Children,14794,24922.95,367
Children,8838,24888.3,375
Children,12917,24869.6,287
Children,7458,24859.92,357
Children,10605,24825.7,164
Children,12166,24821.670000000002,389
Children,7952,24797.06,384
Children,7616,24788.0,360
Children,9045,24787.9,173
Children,12792,24771.2,371
Children,5482,24751.23,410
Children,12527,24750.8,293
Children,11515,24706.7,169
Children,8498,24560.73,339
Children,3248,24548.0,174
Children,8968,24543.42,379
Children,12970,24518.86,402
Children,4312,24515.58,419
Children,10267,24502.2,174
Children,13596,24458.72,404
Children,12454,24457.15,360
Children,11855,24452.21,271
Children,13125,24433.7,266
Children,7408,24426.2,404
Children,8916,24425.85,385
Children,12453,24404.1,301
Children,4156,24400.97,413
Children,5664,24382.1,396
Children,5171,24381.05,145
Children,12216,24372.0,411
Children,6652,24345.13,327
Children,4651,24331.5,148
Children,6888,24327.89,367
Children,6990,24327.64,396
Children,6083,24313.95,287
Children,5977,24307.3,167
Children,14481,24295.6,298
Children,14168,24293.45,431
Children,5326,24278.96,393
Children,13414,24240.76,422
Children,4780,24231.89,417
Children,11905,24214.75,165
Children,5612,24201.2,419
Children,9436,24194.7,199
Children,10943,24159.95,182
Children,9410,24158.9,183
Children,11981,24147.3,283
Children,3923,24127.0,150
Children,9019,24112.0,153
Children,12272,24081.2,412
Children,12219,24077.6,300
Children,4052,24076.63,397
Children,13832,24063.6,352
Children,13362,24015.15,407
Children,7668,24012.53,376
Children,13388,24002.65,405
Children,8888,23995.63,413
Children,4417,23974.75,139
Children,14012,23956.84,389
Children,8290,23955.4,389
Children,7850,23951.02,396
Children,7824,23942.55,377
Children,12947,23916.25,280
Children,8942,23905.5,383
Children,6314,23879.75,383
Children,9487,23864.75,178
Children,13988,23837.9,347
Children,4053,23833.9,138
Children,9409,23805.9,173
Children,5456,23797.19,418
Children,14035,23795.3,254
Children,13571,23762.3,265
Children,14217,23754.95,278
Children,13567,23735.0,262
Children,14376,23711.15,393
Children,13047,23708.3,267
Children,10397,23696.7,158
Children,7304,23656.87,349
Children,4547,23651.15,178
Children,7591,23626.1,300
Children,11309,23616.14,235
Children,3714,23612.7,393
Children,7330,23604.25,363
Children,8396,23573.55,391
Children,11411,23568.6,163
Children,9020,23564.25,189
Children,11671,23559.1,191
Children,4131,23551.0,158
Children,12761,23543.5,297
Children,9826,23492.0,190
Children,6782,23487.36,419
Children,14504,23487.170000000002,415
Children,8058,23465.5,360
Children,13598,23416.0,360
Children,10137,23407.25,161
Children,5873,23401.0,157
Children,6446,23387.27,342
Children,12350,23352.95,342
Children,12137,23273.75,279
Children,11932,23235.6,187
Children,13359,23222.75,272
Children,5614,23193.9,160
Children,7486,23121.98,386
Children,9046,23117.6,165
Children,7405,23039.5,290
Children,14611,23007.7,275
Children,3949,22996.5,172
Children,14061,22994.95,255
Children,12371,22972.8,260
Children,6469,22920.0,278
Children,6496,22896.84,383
Children,14090,22880.7,395
Children,4806,22841.92,414
Children,8864,22829.76,366
Children,13129,22817.65,306
Children,12011,22803.2,302
Children,7512,22763.76,364
Children,11229,22762.05,198
Children,7328,22759.22,362
Children,13801,22737.4,306
Children,10371,22718.2,168
Children,13363,22715.45,296
Children,7826,22694.9,318
Children,10867,22642.09,231
Children,8241,22616.45,274
Children,13701,22616.0,250
Children,6498,22612.55,356
Children,13960,22602.91,395
Children,12921,22600.4,301
Children,9721,22541.6,169
Children,13544,22508.35,366
Children,9047,22499.84,253
Children,14142,22492.58,381
Children,11751,22481.12,257
Children,8214,22475.75,393
Children,10814,22471.0,176
Children,10373,22398.98,235
Children,14169,22335.8,278
Children,8266,22330.31,400
Children,13515,22318.0,283
Children,8760,22317.3,368
Children,13411,22308.3,289
Children,4625,22267.9,156
Children,12505,22267.5,279
Children,14664,22261.15,360
Children,12193,22250.3,292
Children,7357,22232.65,257
